MANOVA, multivariate Analysis of variance
ANOVA, Analysis of variance
ANCOVA, Analysis of covariance
Linear regression, Multiple regression
Logistic regression
Correlation, Pearson, Spearman
U test, U-test, U - test, Mann-Whitney, Mann - Whitney, Mann Whitney
Wilcoxon Signed-Ranks test, Wilcoxon test, Wilcoxon-test, Wilcoxon Signed Rank, Wilcoxon Signed-Rank,
Kruskal-Wallis, Kruskal Wallis, Kruskal - Wallis
McNemar, Mc Nemar
Friedman's test, Friedman test
chi square, Chi-square, Fisher’s Exact, Χ square, χ square, Χ-square, χ-square, Χ2, χ2
t-test, t test
Dum's test, Dum test
Receiver Operating Characteristic Curve, ROC, C-statistic, Hosmer–Lemeshow, Hosmer – Lemeshow
Odds ratio, Relative risk, Likelihood ratio
Kappa,  Kendall Tau, Bland–Altman, Youden J, Bland Altman, Youden-J, Kendall-Tau
Survival analysis, Life tables, Log rank test
Sensitivity, Specificity, Positive predictive value, Negative predictive value
Post hoc analysis, Tukey, Newman–Kuels, Duncan
Cluster analysis,Clustering
Factor analysis
Classification and regression tree analysis, tree analysis
Mantel–Haenszel, Mantel – Haenszel, Mantel Haenszel
Miettine
Decision tree analysis,Decision trees
Meta-analysis, Meta analysis
Content analysis, Content-analysis
Confidence interval, CI, Confidence-interval
Random effect, Random-effect
Cronbach's alpha, Cronbachs alpha, Cronbach alpha
Kaplan Meier analysis
Principal component analysis, PCA
Support vector machines, SVM
Bayesian network, Bayes network, belief network, probabilistic directed acyclic graphical model
Neural networks, ANN
Hidden Markov Monte Carlo, MCMC
Fuzzy logic
Latent semantic analysis, LSA
Fourier transform
time series
Factor analysis
